e	0
n	1
r	2
l	3
u	4
k	5
g	6
h	7
а	8
c	9
p	10
b	11
н	12
ا	13
v	14
་	15
о	16
р	17
и	18
е	19
т	20
л	21
w	22
f	23
j	24
z	25
с	26
к	27
و	28
ن	29
д	30
ы	31
у	32
ر	33
ा	34
ی	35
ل	36
м	37
्	38
в	39
د	40
г	41
م	42
ت	43
S	44
र	45
ه	46
ي	47
ས	48
э	49
б	50
س	51
ب	52
п	53
क	54
é	55
M	56
з	57
й	58
न	59
ि	60
ى	61
q	62
त	63
े	64
ь	65
I	66
B	67
P	68
х	69
C	70
ག	71
ི	72
я	73
ک	74
á	75
स	76
ད	77
T	78
ە	79
D	80
ш	81
ä	82
್	83
L	84
བ	85
य	86
ོ	87
म	88
K	89
া	90
ı	91
ल	92
N	93
ა	94
ч	95
і	96
E	97
ར	98
x	99
í	100
י	101
ó	102
ང	103
ी	104
व	105
ش	106
ུ	107
ი	108
G	109
R	110
ན	111
प	112
H	113
ж	114
མ	115
ئ	116
ق	117
è	118
ו	119
ེ	120
്	121
်	122
ج	123
F	124
ö	125
ྱ	126
ं	127
འ	128
ो	129
ह	130
ë	131
்	132
ལ	133
ü	134
پ	135
ц	136
ê	137
ъ	138
ಿ	139
্	140
ա	141
ү	142
།	143
à	144
O	145
V	146
ع	147
।	148
द	149
א	150
ರ	151
ე	152
ز	153
པ	154
ি	155
র	156
ु	157
ަ	158
ग	159
ف	160
J	161
گ	162
ು	163
æ	164
ા	165
W	166
្	167
ā	168
،	169
ា	170
ে	171
â	172
ন	173
ज	174
ר	175
U	176
ಾ	177
ע	178
خ	179
რ	180
š	181
α	182
ನ	183
ದ	184
ك	185
ө	186
ತ	187
ო	188
ç	189
ს	190
ο	191
ೆ	192
τ	193
ş	194
ה	195
ত	196
ф	197
ক	198
්	199
ब	200
ް	201
ն	202
ৰ	203
ə	204
ެ	205
ò	206
ା	207
ح	208
ಕ	209
ਾ	210
​	211
ി	212
ಲ	213
އ	214
ន	215
ô	216
ל	217
î	218
च	219
រ	220
ର	221
ნ	222
چ	223
း	224
୍	225
ာ	226
अ	227
ے	228
ł	229
श	230
ྲ	231
า	232
С	233
ު	234
ব	235
ි	236
ι	237
č	238
য	239
მ	240
ި	241
ۇ	242
भ	243
ý	244
్	245
К	246
ლ	247
ո	248
ю	249
ր	250
ә	251
ې	252
ž	253
ന	254
க	255
ল	256
ہ	257
ε	258
А	259
ି	260
ב	261
ν	262
ī	263
ນ	264
ú	265
נ	266
າ	267
ì	268
น	269
ે	270
ಂ	271
ร	272
ð	273
ವ	274
ম	275
න	276
ނ	277
ക	278
ု	279
ு	280
ट	281
ಗ	282
מ	283
ಪ	284
ʻ	285
স	286
ર	287
ி	288
ھ	289
ñ	290
ಸ	291
ു	292
ത	293
غ	294
უ	295
დ	296
ט	297
‌	298
ក	299
ి	300
М	301
–	302
ව	303
ė	304
Ꭰ	305
ի	306
ण	307
த	308
ן	309
က	310
ය	311
င	312
ਰ	313
थ	314
ש	315
ാ	316
ా	317
ေ	318
প	319
ե	320
Ꮧ	321
आ	322
ಯ	323
્	324
ન	325
«	326
ಮ	327
ד	328
»	329
ប	330
ိ	331
ू	332
ष	333
ת	334
ă	335
Ꮝ	336
ρ	337
آ	338
Y	339
ཡ	340
ध	341
ੀ	342
ة	343
ص	344
ស	345
ා	346
হ	347
ಡ	348
ర	349
ර	350
أ	351
ӧ	352
ម	353
ཀ	354
ක	355
П	356
ј	357
ड	358
å	359
შ	360
û	361
મ	362
ਸ	363
ਿ	364
Z	365
ē	366
ង	367
တ	368
়	369
യ	370
ྒ	371
မ	372
ཞ	373
σ	374
ก	375
פ	376
ए	377
କ	378
ત	379
κ	380
ै	381
Б	382
อ	383
ু	384
ੇ	385
သ	386
ط	387
ù	388
ం	389
ბ	390
เ	391
ப	392
่	393
ම	394
ਦ	395
ں	396
һ	397
ง	398
େ	399
η	400
ી	401
თ	402
ཁ	403
ւ	404
ம	405
ត	406
õ	407
ཆ	408
Т	409
ు	410
ງ	411
ख	412
န	413
ς	414
ര	415
Ꮎ	416
ත	417
న	418
ң	419
ਨ	420
ވ	421
ક	422
छ	423
ё	424
ў	425
વ	426
ރ	427
່	428
މ	429
ດ	430
ပ	431
ස	432
X	433
उ	434
ū	435
ג	436
π	437
ม	438
ਕ	439
Р	440
ల	441
ʼ	442
ກ	443
ਤ	444
ס	445
ಬ	446
ட	447
υ	448
ြ	449
ர	450
ކ	451
մ	452
ვ	453
ු	454
ં	455
দ	456
इ	457
ގ	458
ั	459
ະ	460
ྟ	461
ល	462
ާ	463
Ӏ	464
ັ	465
ਹ	466
ק	467
Ꭿ	468
ନ	469
പ	470
গ	471
ን	472
ೊ	473
ě	474
ா	475
ڪ	476
կ	477
ရ	478
క	479
့	480
щ	481
ទ	482
ເ	483
ཚ	484
စ	485
ã	486
ອ	487
ӹ	488
ø	489
ട	490
გ	491
ี	492
ō	493
λ	494
យ	495
້	496
้	497
ۆ	498
ট	499
ཐ	500
ཅ	501
ତ	502
Н	503
ტ	504
ಟ	505
ย	506
ବ	507
ਲ	508
ཕ	509
Д	510
О	511
ः	512
മ	513
ই	514
Г	515
ם	516
ல	517
ো	518
ព	519
់	520
И	521
́	522
კ	523
အ	524
տ	525
ມ	526
Ꭲ	527
ិ	528
ည	529
വ	530
ί	531
қ	532
ય	533
ą	534
ਵ	535
ද	536
પ	537
ன	538
ସ	539
জ	540
ז	541
ો	542
ମ	543
ਂ	544
У	545
ĕ	546
வ	547
Ꭴ	548
þ	549
ọ	550
ว	551
đ	552
ှ	553
ғ	554
െ	555
ล	556
ྐ	557
ด	558
ಳ	559
ท	560
ල	561
ێ	562
လ	563
લ	564
Q	565
ප	566
સ	567
ວ	568
ཏ	569
ដ	570
ć	571
ം	572
ิ	573
ୁ	574
ច	575
յ	576
َ	577
ތ	578
സ	579
ী	580
ុ	581
ല	582
כ	583
